Country;Jews
Austria;0-0.001
Belgium;0.001-0.005
Bulgaria;0-0.001
Croatia;0-0.001
Cyprus;0.001-0.005
Czech Republic;0-0.001
Denmark;0.001-0.005
Estonia;0.001-0.005
Finland;0-0.001
France;0.005-0.01
Greece;0-0.001
Spain;0-0.001
Ireland;0-0.001
Lithuania;0-0.001
Luxemburg;0-0.001
Latvia;0.001-0.005
Malta;0-0.001
Netherlands;0.001-0.005
Germany;0.001-0.005
Poland;0-0.001
Portugal;0-0.001
Romania;0-0.001
Slovakia;0-0.001
Slovenia;0-0.001
Sweden;0.001-0.005
Hungary;0.001-0.005
United Kingdom;0.001-0.005
Italy;0-0.001
