Country;Population
Austria;8700471
Belgium;11289853
Bulgaria;7153784
Croatia;4190669
Cyprus;848319
Czech Republic;10553843
Denmark;5707251
Estonia;1315944
Finland;5487308
France;66661621
Greece;10783748
Spain;46438422
Ireland;4723605
Lithuania;2888558
Luxemburg;576249
Latvia;1968957
Malta;434403
Netherlands;16979120
Germany;82162000
Poland;37967209
Portugal;10341330
Romania;19759968
Slovakia;5426252
Slovenia;2064188
Sweden;9851017
Hungary;9830485
United Kingdom;65382556
Italy;60665551
